"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EGR2",5.46434075368266e-111,3.37264769691577,0.171,0.301,1.6393022261048e-107
"LOC106997205",7.5750431501386e-89,3.64101846119606,0.359,0.579,2.27251294504158e-85
"EGR3",9.31499862349537e-89,2.84082853964924,0.105,0.139,2.79449958704861e-85
"LCA5",3.03136866221861e-88,8.23407041591512,0.232,0.39,9.09410598665582e-85
"CTLA4",2.61255546634301e-84,3.77532239644663,0.108,0.132,7.83766639902903e-81
"DTX1",4.74065554174757e-81,1.73309593720146,0.138,0.17,1.42219666252427e-77
"TRIM9",1.27709903505426e-80,4.96420278838783,0.111,0.162,3.83129710516279e-77
"LOC114673202",5.7600520698017e-78,1.17031105888868,0.251,0.413,1.72801562094051e-74
"MX1",1.03241489291578e-77,2.42921623411718,0.146,0.191,3.09724467874733e-74
"ASNS",3.97779766195934e-77,10.0631733823034,0.251,0.414,1.1933392985878e-73
"PKNOX2",1.09606035057992e-76,5.54924778400702,0.179,0.286,3.28818105173976e-73
"LOC106997781",5.37285623407574e-75,7.62804040480198,0.172,0.298,1.61185687022272e-71
"LOC100424819",7.05113163130862e-74,2.80487471106118,0.111,0.128,2.11533948939259e-70
"SLC36A1",1.25679899345966e-72,-1.34324061093915,0.287,0.472,3.77039698037899e-69
"NEIL1",9.0753239182353e-71,3.03930718313496,0.104,0.133,2.72259717547059e-67
"LOC106992872",2.46713727786292e-70,2.85205305338679,0.291,0.462,7.40141183358876e-67
"MYOM1",3.82835350489769e-70,8.26769684979635,0.206,0.327,1.14850605146931e-66
"IFI6",1.60244571005809e-69,4.60508603057051,0.208,0.281,4.80733713017426e-66
"ASB2",1.59095513668243e-68,3.7270200344474,0.238,0.345,4.7728654100473e-65
"IRS1",5.2074511722322e-68,2.43726770741179,0.155,0.305,1.56223535166966e-64
"GPR137C",6.54216419737119e-68,3.50531517777377,0.242,0.421,1.96264925921136e-64
"HCST",8.2093951262793e-68,1.4731030498732,0.341,0.543,2.46281853788379e-64
"LOC106997776",2.77515660228181e-67,7.9066260548271,0.329,0.494,8.32546980684544e-64
"SLC29A3",3.23288754913616e-67,1.17044039739959,0.247,0.416,9.69866264740847e-64
"USP18",4.36514504882758e-67,3.09957909589278,0.29,0.391,1.30954351464827e-63
"LOC114677671",1.60924782538857e-66,-0.767594216629434,0.246,0.4,4.82774347616571e-63
"DOCK1",3.58791683690347e-66,0.297468955927924,0.131,0.231,1.07637505107104e-62
"BAIAP2",8.23996747468361e-66,5.62714103777143,0.15,0.29,2.47199024240508e-62
"TSHZ2",3.14319126686185e-65,3.68814650114704,0.104,0.129,9.42957380058554e-62
"TSTD3",3.81224345562106e-65,5.24069335725983,0.34,0.499,1.14367303668632e-61
"ZGRF1",4.11883035349869e-65,6.12996132070328,0.283,0.439,1.23564910604961e-61
"HDHD2",3.36730058730027e-64,-0.549827753733825,0.265,0.379,1.01019017619008e-60
"LOC106999761",3.5382849179968e-64,-1.24665325577888,0.21,0.354,1.06148547539904e-60
"WDHD1",3.89719515006456e-64,1.69302930356172,0.225,0.38,1.16915854501937e-60
"GNAL",5.42496223979032e-63,4.1644949006988,0.309,0.471,1.62748867193709e-59
"CAB39L",1.4799424176967e-62,5.23142678092592,0.209,0.302,4.43982725309011e-59
"LOC106994640",2.05591952143846e-62,2.85026024949371,0.199,0.316,6.16775856431539e-59
"USP49",2.24925799032873e-62,7.13708496174207,0.237,0.405,6.74777397098618e-59
"ZDBF2",2.73695387406609e-62,-0.276766894179205,0.259,0.396,8.21086162219826e-59
"NR4A1",2.79600504539799e-62,-1.8524730671419,0.136,0.203,8.38801513619396e-59
"SOX4",3.59167270621635e-62,2.34325993426334,0.128,0.246,1.0775018118649e-58
"HGD",1.70830824206801e-61,8.39363510902077,0.321,0.478,5.12492472620404e-58
"SHMT1",6.24565213154714e-61,6.14977600074669,0.329,0.486,1.87369563946414e-57
"SYNPO",7.61614839305378e-61,2.82075785262995,0.115,0.169,2.28484451791613e-57
"LOC107000766",2.34481439421009e-60,1.4257783636006,0.273,0.441,7.03444318263026e-57
