Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
BACH2	BACH2	1.915689384901489E-9	1.402644035848029E-8	0.869949524607152E0	-0.2009963981920561E0	-1.149491978228939E0	4.126972847498547E0	4.743922182568221E0	0.703749161871885E0	0.7563620402335E0
MAML3	MAML3	3.940181514394655E-13	7.405947791302453E-12	0.875611271233707E0	-0.1916375692763215E0	-1.142059305142376E0	2.096114309636112E0	2.39388685196201E0	0.422541412431068E0	0.4987731779888214E0
CYTIP	CYTIP	0.0E0	0.0E0	0.8876259519215103E0	-0.1719762460082248E0	-1.126600678850393E0	1.882145378922629E0	2.120426261589365E0	0.5345010618126362E0	0.639094178298028E0
TCF7	TCF7	1.953992523340279E-14	5.045346856352108E-13	0.8885039860165491E0	-0.1705498463842146E0	-1.125487353729637E0	3.158124758492081E0	3.5544294771833E0	0.7380731555864803E0	0.8047364378136057E0
ETS1	ETS1	0.0E0	0.0E0	0.8892948959270969E0	-0.1692661895064829E0	-1.124486381941383E0	5.627145252748811E0	6.32764820592214E0	0.9114817343507533E0	0.9585904697382188E0
PDK1	PDK1	0.0E0	0.0E0	0.8944746290595181E0	-0.1608875327321568E0	-1.117974694320212E0	2.14619539690823E0	2.399392142809925E0	0.5620141176622904E0	0.6471059738393048E0
PRKAG2	PRKAG2	0.0E0	0.0E0	0.8951657437093181E0	-0.1597732667123596E0	-1.117111559537877E0	2.10222073701091E0	2.348415086015123E0	0.5532363704635164E0	0.6436514909605646E0
RASGRF2	RASGRF2	1.512034486506048E-8	9.186387866152503E-8	0.8973844033808757E0	-0.1562019848207311E0	-1.114349654654708E0	2.103853210375432E0	2.344428098426062E0	0.4269636309395094E0	0.4873832370500892E0
HPCAL1	HPCAL1	1.831867990631517E-14	4.760063584296637E-13	0.897923030039176E0	-0.1553363124376392E0	-1.11368120267098E0	2.354366132314122E0	2.622013305763415E0	0.6161509403225574E0	0.6928504623674032E0
STK17B	STK17B	1.110223024625158E-16	5.26776353911473E-15	0.8982252171664135E0	-0.1548508693516605E0	-1.113306530353991E0	3.548841843401344E0	3.950948799452212E0	0.8243297808182288E0	0.8859706207151956E0
SATB1	SATB1	5.324807261786206E-11	5.624602711959087E-10	0.9001129596372668E0	-0.1518220311313248E0	-1.110971672269874E0	2.317630508780848E0	2.574821842043937E0	0.5629155000180595E0	0.6304602112535773E0
B2M	B2M	0.0E0	0.0E0	1.118255843504372E0	0.1612502972405688E0	1.118255843504372E0	7.891339474990071E0	7.056828292763771E0	0.9665419181586408E0	0.9675667081032444E0
MYLIP	MYLIP	0.0E0	0.0E0	1.118821332119886E0	0.1619796664796333E0	1.118821332119886E0	2.127743394390815E0	1.901772278831398E0	0.5713271810865428E0	0.5529075850797034E0
RPL13	RPL13	0.0E0	0.0E0	1.12184713203363E0	0.1658761011852745E0	1.12184713203363E0	1.841668811258573E0	1.6416397195936E0	0.5350378146036712E0	0.4964373974822702E0
IFRD1	IFRD1	0.0E0	0.0E0	1.124379015735565E0	0.1691284340917124E0	1.124379015735565E0	1.648034965788351E0	1.465729031513641E0	0.4255399868423095E0	0.3798989166095004E0
HSP90AA1	HSP90AA1	0.0E0	0.0E0	1.127545077911388E0	0.1731851118657666E0	1.127545077911388E0	2.620023295769519E0	2.323652816278288E0	0.6925725727418225E0	0.6798207956805059E0
SRGN	SRGN	0.0E0	0.0E0	1.130282251360617E0	0.1766830839600941E0	1.130282251360617E0	1.961650519636641E0	1.735540407960255E0	0.5368263732514124E0	0.4904551889806505E0
PABPC1	PABPC1	0.0E0	0.0E0	1.133158582958965E0	0.1803497771678048E0	1.133158582958965E0	3.88483763062096E0	3.428326528204605E0	0.8431925607270606E0	0.8435613415404734E0
FOS	FOS	0.0E0	0.0E0	1.135440174777525E0	0.1832516938690827E0	1.135440174777525E0	2.62519451693278E0	2.312050053581338E0	0.6606368131747619E0	0.6329130641090887E0
JUN	JUN	0.0E0	0.0E0	1.136322341419836E0	0.1843721432954609E0	1.136322341419836E0	3.858846946719318E0	3.395908718909535E0	0.7686409900811317E0	0.7750296264377132E0
CD69	CD69	0.0E0	0.0E0	1.150620985024852E0	0.202412687446042E0	1.150620985024852E0	2.343646190521471E0	2.03685333487191E0	0.597337923936027E0	0.565991749430943E0
FOSB	FOSB	0.0E0	0.0E0	1.197365750465875E0	0.2598639089931436E0	1.197365750465875E0	4.034918026960594E0	3.369829164890238E0	0.7565639787210613E0	0.732709747348515E0
CCNL1	CCNL1	0.0E0	0.0E0	1.204502845941332E0	0.2684378023107928E0	1.204502845941332E0	3.770379559010334E0	3.130237152792894E0	0.8211764465217732E0	0.807962262180876E0
EGR1	EGR1	0.0E0	0.0E0	1.256266237745107E0	0.3291422438242579E0	1.256266237745107E0	1.732587707964895E0	1.379156468516376E0	0.401863053621853E0	0.2763162023472683E0
