Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
SLC7A11	SLC7A11	0.02790048015819878E0	0.04990116870940397E0	1.000899526442688E0	0.001297159011025365E0	1.000899526442688E0	1.001697086928407E0	1.000796843703737E0	0.002031736317537616E0	0.002511314965818223E0
RIPK4	RIPK4	0.02788938611310518E0	0.04988574395257691E0	0.9975843659322235E0	-0.003489239351686638E0	-1.002421483485779E0	1.002330910967544E0	1.004758038715738E0	0.003753058789047881E0	0.005692676425421041E0
STARD10	STARD10	0.02784725110757626E0	0.04981478858124393E0	0.997765366791487E0	-0.003227501733975107E0	-1.002239637977913E0	1.01311640154567E0	1.015385415514619E0	0.01460398678630847E0	0.01945726198469E0
KIR3DL21	.	0.027841696419735E0	0.04980926344426993E0	1.000122881183634E0	1.772691829465763E-4	1.000122881183634E0	1.000458350224396E0	1.000335427822994E0	0.001172145204089578E0	4.345393336832143E-4
LOC106993581	.	0.02783380237909873E0	0.04979955181619596E0	1.000646831737881E0	9.328792650878024E-4	1.000646831737881E0	1.001347352129479E0	1.000700067565678E0	0.002953302001867088E0	0.001599306670924498E0
ACD	ACD	0.02779123044258714E0	0.04972778813601834E0	1.000670515404201E0	9.670250820913016E-4	1.000670515404201E0	1.01946316808425E0	1.018780060360286E0	0.02451014639927985E0	0.02697466420380938E0
LOC114677459	.	0.02778776695911178E0	0.04972599601666872E0	0.9957598316487818E0	-0.006130275757687401E0	-1.004258223937591E0	1.012856193584794E0	1.017169162073654E0	0.01504768421623917E0	0.02246726616170407E0
HENMT1	HENMT1	0.02776521526684472E0	0.04969387191655387E0	0.9979484560061885E0	-0.002962792535878803E0	-1.002055761478926E0	1.000816091346708E0	1.002873530514788E0	0.00103859156501117E0	0.004054656309489653E0
ZFYVE28	ZFYVE28	0.02776735510695252E0	0.04969387191655387E0	1.006076048060166E0	0.00873936082195525E0	1.006076048060166E0	1.038230039549543E0	1.031959802195245E0	0.04011890540090132E0	0.03778745412878375E0
SPINK2	SPINK2	0.02774296820878143E0	0.04965902799370501E0	1.001242031574308E0	0.001790760932137299E0	1.001242031574308E0	1.008238447691784E0	1.006987737127331E0	0.01016788695410446E0	0.01124824375139111E0
CPT2	CPT2	0.02771472970042679E0	0.04961710525250288E0	1.002351404717237E0	0.003388377760347408E0	1.002351404717237E0	1.012812003480197E0	1.010436059363743E0	0.01646860232052525E0	0.01592910733863013E0
CDCA2	CDCA2	0.02771709072997277E0	0.04961710525250288E0	0.9995218980093377E0	-6.899203102496232E-4	-1.000478330681513E0	1.012389063212723E0	1.012873319963286E0	0.01296693858856838E0	0.01644753288805546E0
