Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
ZZZ3	ZZZ3	0.0E0	0.0E0	0.9355478967690779E0	-1.068892360779718E0	2.108907765897495E0	2.254195400556855E0	0.5904749239203235E0	0.6666468172083293E0
RBM25	RBM25	0.0E0	0.0E0	1.022096578912533E0	1.022096578912533E0	2.683942830465486E0	2.625919003976206E0	0.7205877610423663E0	0.7564088594847287E0
RBM23	RBM23	0.0E0	0.0E0	0.9913782253573181E0	-1.008696756114019E0	1.229614245676643E0	1.240307900885616E0	0.2216445476404095E0	0.2548480679023659E0
TTC39C	TTC39C	0.0E0	0.0E0	0.9634162190090324E0	-1.03797297602961E0	2.729250934649484E0	2.83288871496972E0	0.6651140601180985E0	0.716412091112369E0
TTF1	TTF1	0.0E0	0.0E0	0.9970717574585986E0	-1.002936842328044E0	1.220521097137299E0	1.224105575157642E0	0.1983368660725678E0	0.2278966405990985E0
IQSEC1	IQSEC1	0.0E0	0.0E0	0.9454025898775116E0	-1.057750434266911E0	1.741213745170304E0	1.841769595105403E0	0.4506804217285955E0	0.5193051658688831E0
IQGAP2	IQGAP2	0.0E0	0.0E0	1.015931483478457E0	1.015931483478457E0	3.966147899450328E0	3.903952150267652E0	0.776450904574574E0	0.8000856950390767E0
IQGAP1	IQGAP1	0.0E0	0.0E0	1.006967294069618E0	1.006967294069618E0	2.894792037657027E0	2.874762720403599E0	0.7389620806224181E0	0.778720930413334E0
IQCN	IQCN	0.0E0	0.0E0	1.027949447979666E0	1.027949447979666E0	1.27767935505556E0	1.242939871767736E0	0.2424147930830899E0	0.2372552253642629E0
IQCG	IQCG	0.0E0	0.0E0	1.017285707637593E0	1.017285707637593E0	1.098835129955095E0	1.080163735423828E0	0.1040435235859415E0	0.09765558509533843E0
RBM22	RBM22	0.0E0	0.0E0	0.9965458072868834E0	-1.003466165516787E0	1.138474771873502E0	1.142420913869502E0	0.1451031859206453E0	0.1640543059816987E0
IQCC	IQCC	0.0E0	0.0E0	0.9919382362602328E0	-1.008127283983085E0	1.042815028246198E0	1.051290282122583E0	0.05000334699030649E0	0.06580708358176282E0
IRAK1BP1	IRAK1BP1	0.0E0	0.0E0	1.011300924079959E0	1.011300924079959E0	1.159394139072773E0	1.146438326581718E0	0.1428912310205373E0	0.1500603351596865E0
IQCB1	IQCB1	0.0E0	0.0E0	0.9905031965034263E0	-1.009587857495158E0	1.138593708285667E0	1.149510382505594E0	0.1275206216094988E0	0.1505035665693936E0
TTI1	TTI1	0.0E0	0.0E0	0.9876841541549942E0	-1.012469417265829E0	1.179327207482935E0	1.194032730525984E0	0.170297873416705E0	0.2015122299645554E0
IPPK	IPPK	0.0E0	0.0E0	0.9910409459708336E0	-1.009040044274246E0	1.099588543910763E0	1.109528873031169E0	0.1064578540811508E0	0.1295671530127503E0
IPP	IPP	0.0E0	0.0E0	0.995741794259412E0	-1.004276415598037E0	1.063502778728158E0	1.068050758599667E0	0.07207008837176626E0	0.08739649880964034E0
LY75	.	0.0E0	0.0E0	0.9885036021942176E0	-1.011630102085884E0	1.176002874839554E0	1.189679908327231E0	0.1472579550034983E0	0.1725042452147699E0
IPO11	IPO11	0.0E0	0.0E0	0.9640720931747148E0	-1.037266825872922E0	1.363970146713178E0	1.414800984666602E0	0.2983921800226719E0	0.35775253454292E0
IPO9	IPO9	0.0E0	0.0E0	0.9815763162009534E0	-1.018769486890589E0	1.462334515311077E0	1.489781783825864E0	0.3568673443095746E0	0.403747082994389E0
IPO8	IPO8	0.0E0	0.0E0	0.9748267411976073E0	-1.025823315814528E0	1.299544511585677E0	1.33310305992339E0	0.2598671050525497E0	0.3156889625039846E0
IPO7	IPO7	0.0E0	0.0E0	0.9911549473621026E0	-1.008923985761699E0	1.340546481969406E0	1.352509499687397E0	0.2957901796297991E0	0.3350247563333431E0
IPO5	IPO5	0.0E0	0.0E0	0.9999339603831604E0	-1.000066043978359E0	1.211825918402173E0	1.211905952206903E0	0.2008789612740012E0	0.2248007389252183E0
RBM19	RBM19	0.0E0	0.0E0	0.9559640770715356E0	-1.046064411816982E0	1.417703236763185E0	1.483008902495712E0	0.3266448314484081E0	0.392745827545004E0
LY9	.	0.0E0	0.0E0	0.9638146817081967E0	-1.037543854621171E0	1.53630091685663E0	1.593979575133468E0	0.3868619402164631E0	0.4542055652669246E0
IPMK	IPMK	0.0E0	0.0E0	0.9884476541575002E0	-1.011687362293703E0	1.170093806669718E0	1.183769116905885E0	0.1520561497354174E0	0.1811024048740719E0
IRAK2	IRAK2	0.0E0	0.0E0	0.9563282384428317E0	-1.045666079701127E0	1.522738932834403E0	1.592276450305227E0	0.3754711754693149E0	0.4415089816115527E0
IRAK4	IRAK4	0.0E0	0.0E0	0.9892133175875241E0	-1.010904303673127E0	1.101768374979605E0	1.11378239191783E0	0.1059787771594736E0	0.1327587187998278E0
IST1	IST1	0.0E0	0.0E0	0.9820438646387468E0	-1.018284453483E0	1.337223295217218E0	1.361673692355002E0	0.2991936869604908E0	0.3448125315973573E0
RBM27	RBM27	0.0E0	0.0E0	1.002593573920323E0	1.002593573920323E0	1.581632561017617E0	1.577541091584246E0	0.4214369409665992E0	0.4596543492356614E0
LTA4H	LTA4H	0.0E0	0.0E0	1.001030272899036E0	1.001030272899036E0	1.072190363825961E0	1.071086852069759E0	0.07419575975655929E0	0.0873204572367037E0
LTB	LTB	0.0E0	0.0E0	1.009563204378641E0	1.009563204378641E0	1.281062072517233E0	1.268927063665809E0	0.2499129944615174E0	0.271318140777813E0
ISG20	ISG20	0.0E0	0.0E0	0.9997704410291904E0	-1.000229611680231E0	1.227227850010315E0	1.227509635858982E0	0.211506143472655E0	0.2341135053876496E0
ISCU	ISCU	0.0E0	0.0E0	1.000836295851339E0	1.000836295851339E0	1.07864686668156E0	1.077745552547166E0	0.08685356621297281E0	0.09883923183575456E0
TTC33	.	0.0E0	0.0E0	0.9926198359485882E0	-1.007435035835607E0	1.11885972634173E0	1.127178488502098E0	0.1175002586369795E0	0.1402507133910559E0
RBM26	RBM26	0.0E0	0.0E0	0.9652092138231501E0	-1.036044813578856E0	2.375788132966885E0	2.461422973322535E0	0.6588728714329675E0	0.7154951984879874E0
IRS2	IRS2	0.0E0	0.0E0	1.02113027378802E0	1.02113027378802E0	1.231808729797338E0	1.206318881554434E0	0.1915566480445018E0	0.1909223257549924E0
LTBP3	LTBP3	0.0E0	0.0E0	0.9887758861460949E0	-1.011351524659094E0	1.201488716867324E0	1.215127445664467E0	0.1837367750239922E0	0.2161712067746882E0
LTBP4	LTBP4	0.0E0	0.0E0	0.9961097661060687E0	-1.003905426918098E0	1.086383331283553E0	1.090626121988921E0	0.09370989010556384E0	0.1096970602982454E0
LUC7L3	LUC7L3	0.0E0	0.0E0	0.9556172978013039E0	-1.046444012996429E0	1.962981964227718E0	2.054150724086066E0	0.5661695039989376E0	0.6352208538555231E0
IRF9	IRF9	0.0E0	0.0E0	0.9902237861136934E0	-1.009872731824263E0	1.10871976728093E0	1.119665860211553E0	0.1128683200970828E0	0.1389592599100981E0
LTO1	LTO1	0.0E0	0.0E0	0.985533915044757E0	-1.014678424288002E0	1.097308149967237E0	1.11341490456714E0	0.1035939173768712E0	0.136559170084768E0
TTC37	TTC37	0.0E0	0.0E0	0.9764926591805316E0	-1.024073238644923E0	1.538607578411581E0	1.57564684582757E0	0.3833976135543112E0	0.4339958568744243E0
LTV1	LTV1	0.0E0	0.0E0	0.9966542010317582E0	-1.003357030918826E0	1.244441320380445E0	1.248618948369628E0	0.227072703795497E0	0.2536764076207131E0
IRF3	IRF3	0.0E0	0.0E0	0.9881129911425311E0	-1.0120300096892E0	1.141560049831171E0	1.155293028291444E0	0.1484764242563304E0	0.179005645125612E0
LUC7L	LUC7L	0.0E0	0.0E0	0.9851114399741979E0	-1.015113579460809E0	1.350446636338323E0	1.370856718884204E0	0.3056414819291222E0	0.3527102522876187E0
IRF2BP2	IRF2BP2	0.0E0	0.0E0	1.004598358993037E0	1.004598358993037E0	1.115145838881831E0	1.11004146970696E0	0.122350512949176E0	0.1346311531021884E0
TTC38	TTC38	0.0E0	0.0E0	0.9888212070988966E0	-1.011305171067175E0	1.081624933212222E0	1.093852888112708E0	0.09052509710818549E0	0.1158389557424191E0
IRF2	IRF2	0.0E0	0.0E0	0.9455996157996335E0	-1.05753004050701E0	1.672127179248734E0	1.768324723603787E0	0.443519451874217E0	0.5176740178628848E0
IRF1	IRF1	0.0E0	0.0E0	0.9767275598461497E0	-1.023826951455651E0	1.554338495256815E0	1.591373643128948E0	0.3942087490388774E0	0.4406132612873817E0
IREB2	IREB2	0.0E0	0.0E0	0.9775805187221548E0	-1.022933641626933E0	1.420482737672968E0	1.453059579716005E0	0.3347888235616956E0	0.386656567535327E0
LTN1	LTN1	0.0E0	0.0E0	0.9675570496445255E0	-1.033530788047479E0	1.588778455303138E0	1.642051448942308E0	0.4258385408535242E0	0.4816903494271921E0
ISY1	.	0.0E0	0.0E0	1.043545785850348E0	1.043545785850348E0	1.364532488635634E0	1.307592352091887E0	0.3076436297794695E0	0.298673558626244E0
IPCEF1	IPCEF1	0.0E0	0.0E0	0.9611772534516126E0	-1.040390829484337E0	2.067528977590957E0	2.151038187978759E0	0.5488665140665168E0	0.6091713582636724E0
IP6K1	IP6K1	0.0E0	0.0E0	0.9716969653622827E0	-1.029127429277465E0	1.318046590640763E0	1.356437899494056E0	0.2759868043581504E0	0.3325845641822665E0
INPP5B	INPP5B	0.0E0	0.0E0	0.9901381538477237E0	-1.009960070838552E0	1.143320837752607E0	1.154708394287815E0	0.1451476590891132E0	0.1717062583638604E0
INPP5A	INPP5A	0.0E0	0.0E0	0.928015164531767E0	-1.07756859825082E0	2.560803004454563E0	2.759440903906591E0	0.669926621399881E0	0.7412854494874864E0
INPP4B	INPP4B	0.0E0	0.0E0	1.060303572651021E0	1.060303572651021E0	6.886043896401016E0	6.494407897904378E0	0.8525168630493734E0	0.8710662910095892E0
INPP4A	INPP4A	0.0E0	0.0E0	0.9006135590727209E0	-1.110354146821427E0	3.797905081498584E0	4.217019656476123E0	0.7979958597633636E0	0.8611439476813862E0
RBM15	RBM15	0.0E0	0.0E0	0.9833232300523174E0	-1.016959601317255E0	1.173223470114731E0	1.193120872423924E0	0.172868932005042E0	0.2086919527997659E0
INO80E	INO80E	0.0E0	0.0E0	0.9950851419455645E0	-1.004939133192991E0	1.082799148157982E0	1.088147237371991E0	0.09274154353516506E0	0.1114004035572063E0
INO80D	INO80D	0.0E0	0.0E0	0.9920585463781778E0	-1.008005025157855E0	1.633867038457091E0	1.646946185204529E0	0.4398076877445189E0	0.4856156235410159E0
INO80C	INO80C	0.0E0	0.0E0	0.9928858063757924E0	-1.007165168016829E0	1.111834744320486E0	1.119801227070491E0	0.1152232012318396E0	0.1349939139994154E0
INO80B	.	0.0E0	0.0E0	0.9972963113199205E0	-1.00271101842992E0	1.050448104122731E0	1.053295888292682E0	0.05836086552607594E0	0.07039515939014722E0
INO80	INO80	0.0E0	0.0E0	0.971473709863082E0	-1.029363934244745E0	1.505747177783199E0	1.549961838900835E0	0.3783301957165204E0	0.4365605983300213E0
