Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LOC114672380	.	0.0E0	0.0E0	1.000095249622587E0	1.000095249622587E0	1.000303767445694E0	1.000208497963754E0	6.95574072297198E-4	4.281026925738991E-4
ARHGAP45	ARHGAP45	0.0E0	0.0E0	0.9076640235554049E0	-1.101729245677169E0	1.81791972816748E0	2.002855330815601E0	0.5346905804217047E0	0.6214180098018381E0
MUC12	.	0.0E0	0.0E0	1.000143616322313E0	1.000143616322313E0	1.00025806614958E0	1.000114433392764E0	5.87565870638974E-4	3.390541499169255E-4
HSP90AA1	HSP90AA1	0.0E0	0.0E0	1.127545077911388E0	1.127545077911388E0	2.620023295769519E0	2.323652816278288E0	0.6925725727418225E0	0.6798207956805059E0
MYLIP	MYLIP	0.0E0	0.0E0	1.118821332119886E0	1.118821332119886E0	2.127743394390815E0	1.901772278831398E0	0.5713271810865428E0	0.5529075850797034E0
HOOK3	HOOK3	0.0E0	0.0E0	1.023019376278949E0	1.023019376278949E0	2.019558690770257E0	1.974115776883955E0	0.5766196890473487E0	0.6062096987313244E0
MYSM1	MYSM1	0.0E0	0.0E0	0.97771353981933E0	-1.022794468188288E0	1.389370553242714E0	1.421040516120349E0	0.3271233634991194E0	0.3807335982746665E0
HNRNPA3	HNRNPA3	0.0E0	0.0E0	0.9712531626796969E0	-1.029597676923893E0	1.864400673683359E0	1.919582602479728E0	0.5463427199871552E0	0.6076825638106119E0
NAA16	NAA16	0.0E0	0.0E0	0.9692858020426094E0	-1.031687452650875E0	1.324324196063406E0	1.366288656320574E0	0.2771123689235723E0	0.3364605193330703E0
NAMPT	NAMPT	0.0E0	0.0E0	1.074774580796527E0	1.074774580796527E0	1.416934612957967E0	1.318355158630438E0	0.317699168605407E0	0.2855376468921766E0
NARS	.	0.0E0	0.0E0	1.02575554549248E0	1.02575554549248E0	1.311526180402694E0	1.278595261966643E0	0.2769996239693984E0	0.282503402282458E0
HHLA2	HHLA2	0.0E0	0.0E0	1.000421975659487E0	1.000421975659487E0	1.000659773608652E0	1.000237697646544E0	8.223230936227927E-4	5.131440348965794E-4
HERC4	HERC4	0.0E0	0.0E0	0.9419919694086375E0	-1.061580175283E0	2.566370308452594E0	2.724407841888192E0	0.6892814079861023E0	0.760371584789814E0
WDR33	WDR33	0.0E0	0.0E0	0.9310978026045501E0	-1.074001031043904E0	2.278283238263012E0	2.446878546904519E0	0.6569746572462342E0	0.7324400199929592E0
BUB3	BUB3	0.0E0	0.0E0	0.9750523625222661E0	-1.025585946392868E0	1.197598890644742E0	1.228240591660936E0	0.1927086123662956E0	0.2450372628096052E0
C4H6orf62	C4H6orf62	0.0E0	0.0E0	1.008252336618632E0	1.008252336618632E0	1.388769988022839E0	1.377403193212867E0	0.3375184789996639E0	0.3626696167086085E0
GYPC	.	0.0E0	0.0E0	0.9226405138252002E0	-1.083845750338962E0	1.844628758670263E0	1.9992930410378E0	0.5073755724657645E0	0.5903386016350387E0
NFKBIA	NFKBIA	0.0E0	0.0E0	1.079742321035267E0	1.079742321035267E0	1.514243890575075E0	1.402412280295917E0	0.3752665206395983E0	0.347515597428136E0
NIPBL	NIPBL	0.0E0	0.0E0	0.989321526395838E0	-1.010793734210014E0	4.180480937082033E0	4.225603937186926E0	0.8684418126877413E0	0.9095087814868936E0
WDR59	WDR59	0.0E0	0.0E0	0.9656429150397106E0	-1.035579492610761E0	1.268859000856645E0	1.314004360301722E0	0.2299974033899871E0	0.2881259789252611E0
GRK6	GRK6	0.0E0	0.0E0	0.9658117736592878E0	-1.035398436085718E0	1.401322945430434E0	1.450927586149703E0	0.3326647368625757E0	0.3935215046456608E0
NOP56	NOP56	0.0E0	0.0E0	1.021273334632429E0	1.021273334632429E0	1.314160316850512E0	1.286786085845958E0	0.2789051938968465E0	0.2899041475849298E0
NOP58	NOP58	0.0E0	0.0E0	1.007161560002662E0	1.007161560002662E0	1.499767247100372E0	1.489102946995325E0	0.3892715466312113E0	0.4217895432462651E0
GRAP	GRAP	0.0E0	0.0E0	0.902345057460479E0	-1.108223502452994E0	1.722919978762007E0	1.909380413309869E0	0.4789210767064948E0	0.5773317656252293E0
NPLOC4	NPLOC4	0.0E0	0.0E0	0.957914606943438E0	-1.04393438909012E0	1.319567659449866E0	1.377542058430875E0	0.2902065830764757E0	0.3574055594339933E0
NR1H4	NR1H4	0.0E0	0.0E0	1.00021622394586E0	1.00021622394586E0	1.000169006495716E0	0.9999527927571918E0	4.564303269729466E-4	5.926833884865977E-4
GPR4	GPR4	0.0E0	0.0E0	1.000025608878045E0	1.000025608878045E0	1.000395667875939E0	1.000370049521341E0	7.567156275577996E-4	8.233010822565063E-4
GPBP1	GPBP1	0.0E0	0.0E0	1.010488540156424E0	1.010488540156424E0	2.00117929218373E0	1.980407706428761E0	0.5904587235457486E0	0.624586677265786E0
ARF4	ARF4	0.0E0	0.0E0	1.07828688577541E0	1.07828688577541E0	1.471243967321546E0	1.364427210170098E0	0.3653799672666603E0	0.333572009015468E0
NUCKS1	NUCKS1	0.0E0	0.0E0	0.9962924856110162E0	-1.003721311203818E0	1.425596772650619E0	1.43090186189281E0	0.3461621253033178E0	0.3868343791771998E0
MTMR1	MTMR1	0.0E0	0.0E0	0.9496484581605529E0	-1.053021243184006E0	1.474835589275027E0	1.553033205710405E0	0.3400742553537691E0	0.4154772354768356E0
HTRA3	HTRA3	0.0E0	0.0E0	1.000195997553051E0	1.000195997553051E0	1.000494180204946E0	1.000298124220278E0	4.702061439751049E-4	4.30240292900286E-4
KHDRBS1	KHDRBS1	0.0E0	0.0E0	0.9938016172571364E0	-1.006237042318336E0	1.37719878851274E0	1.385788435637455E0	0.3195222202877353E0	0.3589774886525811E0
MAMU-A3	.	0.0E0	0.0E0	1.022599505250136E0	1.022599505250136E0	2.25778962649171E0	2.20789235169778E0	0.6469622832730593E0	0.6765553185493183E0
